misra1,misra2,poet
سنا ہے اس کے بدن کی تراش ایسی ہے ,کہ پھول اپنی قبائیں کتر کے دیکھتے ہیں ,Ahmad Faraz
اب تک دل خوش فہم کو تجھ سے ہیں امیدیں ,یہ آخری شمعیں بھی بجھانے کے لیے آ ,Ahmad Faraz
میں کیا کروں مرے قاتل نہ چاہنے پر بھی ,ترے لیے مرے دل سے دعا نکلتی ہے ,Ahmad Faraz
اس قدر مسلسل تھیں شدتیں جدائی کی ,آج پہلی بار اس سے میں نے بے وفائی کی ,Ahmad Faraz
اب دل کی تمنا ہے تو اے کاش یہی ہو ,آنسو کی جگہ آنکھ سے حسرت نکل آئے ,Ahmad Faraz
غم دنیا بھی غم یار میں شامل کر لو ,نشہ بڑھتا ہے شرابیں جو شرابوں میں ملیں ,Ahmad Faraz
نہ منزلوں کو نہ ہم رہ گزر کو دیکھتے ہیں ,عجب سفر ہے کہ بس ہم سفر کو دیکھتے ہیں ,Ahmad Faraz
گفتگو اچھی لگی ذوق نظر اچھا لگا ,مدتوں کے بعد کوئی ہم سفر اچھا لگا ,Ahmad Faraz
سو دیکھ کر ترے رخسار و لب یقیں آیا ,کہ پھول کھلتے ہیں گل زار کے علاوہ بھی ,Ahmad Faraz
نہ شب و روز ہی بدلے ہیں نہ حال اچھا ہے ,کس برہمن نے کہا تھا کہ یہ سال اچھا ہے ,Ahmad Faraz
کتنا آساں تھا ترے ہجر میں مرنا جاناں ,پھر بھی اک عمر لگی جان سے جاتے جاتے ,Ahmad Faraz
یہ کن نظروں سے تو نے آج دیکھا ,کہ تیرا دیکھنا دیکھا نہ جائے ,Ahmad Faraz
اب ترے ذکر پہ ہم بات بدل دیتے ہیں ,کتنی رغبت تھی ترے نام سے پہلے پہلے ,Ahmad Faraz
دوست بن کر بھی نہیں ساتھ نبھانے والا ,وہی انداز ہے ظالم کا زمانے والا ,Ahmad Faraz
ہم سفر چاہیئے ہجوم نہیں ,اک مسافر بھی قافلہ ہے مجھے ,Ahmad Faraz
عمر بھر کون نبھاتا ہے تعلق اتنا ,اے مری جان کے دشمن تجھے اللہ رکھے ,Ahmad Faraz
مجھ سے بچھڑ کے تو بھی تو روئے گا عمر بھر ,یہ سوچ لے کہ میں بھی تری خواہشوں میں ہوں ,Ahmad Faraz
یاد آئی ہے تو پھر ٹوٹ کے یاد آئی ہے ,کوئی گزری ہوئی منزل کوئی بھولی ہوئی دوست ,Ahmad Faraz
کسی بے وفا کی خاطر یہ جنوں فرازؔ کب تک ,جو تمہیں بھلا چکا ہے اسے تم بھی بھول جاؤ ,Ahmad Faraz
سب خواہشیں پوری ہوں فرازؔ ایسا نہیں ہے ,جیسے کئی اشعار مکمل نہیں ہوتے ,Ahmad Faraz
شہر والوں کی محبت کا میں قائل ہوں مگر ,میں نے جس ہاتھ کو چوما وہی خنجر نکلا ,Ahmad Faraz
سلوٹیں ہیں مرے چہرے پہ تو حیرت کیوں ہے ,زندگی نے مجھے کچھ تم سے زیادہ پہنا ,Ahmad Faraz
لو پھر ترے لبوں پہ اسی بے وفا کا ذکر ,احمد فرازؔ تجھ سے کہا نہ بہت ہوا ,Ahmad Faraz
فرازؔ ترک تعلق تو خیر کیا ہوگا ,یہی بہت ہے کہ کم کم ملا کرو اس سے ,Ahmad Faraz
بھری بہار میں اک شاخ پر کھلا ہے گلاب ,کہ جیسے تو نے ہتھیلی پہ گال رکھا ہے ,Ahmad Faraz
چپ چاپ اپنی آگ میں جلتے رہو فرازؔ ,دنیا تو عرض حال سے بے آبرو کرے ,Ahmad Faraz
زندگی پر اس سے بڑھ کر طنز کیا ہوگا فرازؔ ,اس کا یہ کہنا کہ تو شاعر ہے دیوانہ نہیں ,Ahmad Faraz
تمام عمر کہاں کوئی ساتھ دیتا ہے ,یہ جانتا ہوں مگر تھوڑی دور ساتھ چلو ,Ahmad Faraz
ایک سفر وہ ہے جس میں ,پاؤں نہیں دل تھکتا ہے ,Ahmad Faraz
جب بھی دل کھول کے روئے ہوں گے ,لوگ آرام سے سوئے ہوں گے ,Ahmad Faraz
تیرے ہوتے ہوئے محفل میں جلاتے ہیں چراغ ,لوگ کیا سادہ ہیں سورج کو دکھاتے ہیں چراغ ,Ahmad Faraz
سنا ہے لوگ اسے آنکھ بھر کے دیکھتے ہیں ,سو اس کے شہر میں کچھ دن ٹھہر کے دیکھتے ہیں ,Ahmad Faraz
کتنے ناداں ہیں ترے بھولنے والے کہ تجھے ,یاد کرنے کے لیے عمر پڑی ہو جیسے ,Ahmad Faraz
سنا ہے بولے تو باتوں سے پھول جھڑتے ہیں ,یہ بات ہے تو چلو بات کر کے دیکھتے ہیں ,Ahmad Faraz
تو خدا ہے نہ مرا عشق فرشتوں جیسا ,دونوں انساں ہیں تو کیوں اتنے حجابوں میں ملیں ,Ahmad Faraz
ایسی تاریکیاں آنکھوں میں بسی ہیں کہ فرازؔ ,رات تو رات ہے ہم دن کو جلاتے ہیں چراغ ,Ahmad Faraz
میں نے دیکھا ہے بہاروں میں چمن کو جلتے ,ہے کوئی خواب کی تعبیر بتانے والا ,Ahmad Faraz
تیرے بغیر بھی تو غنیمت ہے زندگی ,خود کو گنوا کے کون تری جستجو کرے ,Ahmad Faraz
سلسلے توڑ گیا وہ سبھی جاتے جاتے ,ورنہ اتنے تو مراسم تھے کہ آتے جاتے ,Ahmad Faraz
ٹوٹا تو ہوں مگر ابھی بکھرا نہیں فرازؔ ,میرے بدن پہ جیسے شکستوں کا جال ہو ,Ahmad Faraz
ہو دور اس طرح کہ ترا غم جدا نہ ہو ,پاس آ تو یوں کہ جیسے کبھی تو ملا نہ ہو ,Ahmad Faraz
تو سامنے ہے تو پھر کیوں یقیں نہیں آتا ,یہ بار بار جو آنکھوں کو مل کے دیکھتے ہیں ,Ahmad Faraz
تجھ سے مل کر تو یہ لگتا ہے کہ اے اجنبی دوست ,تو مری پہلی محبت تھی مری آخری دوست ,Ahmad Faraz
مدتیں ہو گئیں فرازؔ مگر ,وہ جو دیوانگی کہ تھی ہے ابھی ,Ahmad Faraz
کسے خبر وہ محبت تھی یا رقابت تھی ,بہت سے لوگ تجھے دیکھ کر ہمارے ہوئے ,Ahmad Faraz
اب زمیں پر کوئی گوتم نہ محمد نہ مسیح ,آسمانوں سے نئے لوگ اتارے جائیں ,Ahmad Faraz
فرازؔ عشق کی دنیا تو خوبصورت تھی ,یہ کس نے فتنۂ ہجر و وصال رکھا ہے ,Ahmad Faraz
وہ جس گھمنڈ سے بچھڑا گلہ تو اس کا ہے ,کہ ساری بات محبت میں رکھ رکھاؤ کی تھی ,Ahmad Faraz
یہ دل کا درد تو عمروں کا روگ ہے پیارے ,سو جائے بھی تو پہر دو پہر کو جاتا ہے ,Ahmad Faraz
سامنے عمر پڑی ہے شب تنہائی کی ,وہ مجھے چھوڑ گیا شام سے پہلے پہلے ,Ahmad Faraz
ایسا ہے کہ سب خواب مسلسل نہیں ہوتے ,جو آج تو ہوتے ہیں مگر کل نہیں ہوتے ,Ahmad Faraz
دو گھڑی اس سے رہو دور تو یوں لگتا ہے ,جس طرح سایۂ دیوار سے دیوار جدا ,Ahmad Faraz
جس سمت بھی دیکھوں نظر آتا ہے کہ تم ہو ,اے جان جہاں یہ کوئی تم سا ہے کہ تم ہو ,Ahmad Faraz
جو زہر پی چکا ہوں تمہیں نے مجھے دیا ,اب تم تو زندگی کی دعائیں مجھے نہ دو ,Ahmad Faraz
ہم اگر منزلیں نہ بن پائے ,منزلوں تک کا راستا ہو جائیں ,Ahmad Faraz
کبھی فرازؔ سے آ کر ملو جو وقت ملے ,یہ شخص خوب ہے اشعار کے علاوہ بھی ,Ahmad Faraz
شدت تشنگی میں بھی غیرت مے کشی رہی ,اس نے جو پھیر لی نظر میں نے بھی جام رکھ دیا ,Ahmad Faraz
منصف ہو اگر تم تو کب انصاف کرو گے ,مجرم ہیں اگر ہم تو سزا کیوں نہیں دیتے ,Ahmad Faraz
کون طاقوں پہ رہا کون سر راہ گزر ,شہر کے سارے چراغوں کو ہوا جانتی ہے ,Ahmad Faraz
ابھی کچھ اور کرشمے غزل کے دیکھتے ہیں ,فرازؔ اب ذرا لہجہ بدل کے دیکھتے ہیں ,Ahmad Faraz
ہم ترے شوق میں یوں خود کو گنوا بیٹھے ہیں ,جیسے بچے کسی تہوار میں گم ہو جائیں ,Ahmad Faraz
سائے ہیں اگر ہم تو ہو کیوں ہم سے گریزاں ,دیوار اگر ہیں تو گرا کیوں نہیں دیتے ,Ahmad Faraz
یوں ہی موسم کی ادا دیکھ کے یاد آیا ہے ,کس قدر جلد بدل جاتے ہیں انساں جاناں ,Ahmad Faraz
اگرچہ زور ہواؤں نے ڈال رکھا ہے ,مگر چراغ نے لو کو سنبھال رکھا ہے ,Ahmad Faraz
جس سے یہ طبیعت بڑی مشکل سے لگی تھی ,دیکھا تو وہ تصویر ہر اک دل سے لگی تھی ,Ahmad Faraz
منتظر کس کا ہوں ٹوٹی ہوئی دہلیز پہ میں ,کون آئے گا یہاں کون ہے آنے والا ,Ahmad Faraz
ضبط لازم ہے مگر دکھ ہے قیامت کا فرازؔ ,ظالم اب کے بھی نہ روئے گا تو مر جائے گا ,Ahmad Faraz
ہجوم ایسا کہ راہیں نظر نہیں آتیں ,نصیب ایسا کہ اب تک تو قافلہ نہ ہوا ,Ahmad Faraz
دل کا دکھ جانا تو دل کا مسئلہ ہے پر ہمیں ,اس کا ہنس دینا ہمارے حال پر اچھا لگا ,Ahmad Faraz
ابھی تو جاگ رہے ہیں چراغ راہوں کے ,ابھی ہے دور سحر تھوڑی دور ساتھ چلو ,Ahmad Faraz
دیکھو یہ کسی اور کی آنکھیں ہیں کہ میری ,دیکھوں یہ کسی اور کا چہرہ ہے کہ تم ہو ,Ahmad Faraz
میں رات ٹوٹ کے رویا تو چین سے سویا ,کہ دل کا زہر مری چشم تر سے نکلا تھا ,Ahmad Faraz
ہوائے ظلم سوچتی ہے کس بھنور میں آ گئی ,وہ اک دیا بجھا تو سینکڑوں دئیے جلا گیا ,Ahmad Faraz
تیرے ہوتے ہوئے آ جاتی تھی ساری دنیا ,آج تنہا ہوں تو کوئی نہیں آنے والا ,Ahmad Faraz
ہنسی خوشی سے بچھڑ جا اگر بچھڑنا ہے ,یہ ہر مقام پہ کیا سوچتا ہے آخر تو ,Ahmad Faraz
وہ وقت آ گیا ہے کہ ساحل کو چھوڑ کر ,گہرے سمندروں میں اتر جانا چاہیئے ,Ahmad Faraz
جی میں جو آتی ہے کر گزرو کہیں ایسا نہ ہو ,کل پشیماں ہوں کہ کیوں دل کا کہا مانا نہیں ,Ahmad Faraz
دیکھا مجھے تو ترک تعلق کے باوجود ,وہ مسکرا دیا یہ ہنر بھی اسی کا تھا ,Ahmad Faraz
سنا ہے اس کو بھی ہے شعر و شاعری سے شغف ,سو ہم بھی معجزے اپنے ہنر کے دیکھتے ہیں ,Ahmad Faraz
بظاہر ایک ہی شب ہے فراق یار مگر ,کوئی گزارنے بیٹھے تو عمر ساری لگے ,Ahmad Faraz
دل گرفتہ ہی سہی بزم سجا لی جائے ,یاد جاناں سے کوئی شام نہ خالی جائے ,Ahmad Faraz
یوں تو پہلے بھی ہوئے اس سے کئی بار جدا ,لیکن اب کے نظر آتے ہیں کچھ آثار جدا ,Ahmad Faraz
رات کیا سوئے کہ باقی عمر کی نیند اڑ گئی ,خواب کیا دیکھا کہ دھڑکا لگ گیا تعبیر کا ,Ahmad Faraz
تو اتنی دل زدہ تو نہ تھی اے شب فراق ,آ تیرے راستے میں ستارے لٹائیں ہم ,Ahmad Faraz
جدائیاں تو مقدر ہیں پھر بھی جان سفر ,کچھ اور دور ذرا ساتھ چل کے دیکھتے ہیں ,Ahmad Faraz
آج ہم دار پہ کھینچے گئے جن باتوں پر ,کیا عجب کل وہ زمانے کو نصابوں میں ملیں ,Ahmad Faraz
ہوا میں نشہ ہی نشہ فضا میں رنگ ہی رنگ ,یہ کس نے پیرہن اپنا اچھال رکھا ہے ,Ahmad Faraz
اب تو یہ آرزو ہے کہ وہ زخم کھائیے ,تا زندگی یہ دل نہ کوئی آرزو کرے ,Ahmad Faraz
جز ترے کوئی بھی دن رات نہ جانے میرے ,تو کہاں ہے مگر اے دوست پرانے میرے ,Ahmad Faraz
رکے تو گردشیں اس کا طواف کرتی ہیں ,چلے تو اس کو زمانے ٹھہر کے دیکھتے ہیں ,Ahmad Faraz
کیا کہیں کتنے مراسم تھے ہمارے اس سے ,وہ جو اک شخص ہے منہ پھیر کے جانے والا ,Ahmad Faraz
ہمیشہ کے لیے مجھ سے بچھڑ جا ,یہ منظر بارہا دیکھا نہ جائے ,Ahmad Faraz
اس کا کیا ہے تم نہ سہی تو چاہنے والے اور بہت ,ترک محبت کرنے والو تم تنہا رہ جاؤ گے ,Ahmad Faraz
شکوۂ ظلمت شب سے تو کہیں بہتر تھا ,اپنے حصے کی کوئی شمع جلاتے جاتے ,Ahmad Faraz
کسی دشمن کا کوئی تیر نہ پہنچا مجھ تک ,دیکھنا اب کے مرا دوست کماں کھینچتا ہے ,Ahmad Faraz
ہر طرح کی بے سر و سامانیوں کے باوجود ,آج وہ آیا تو مجھ کو اپنا گھر اچھا لگا ,Ahmad Faraz
بہت دنوں سے نہیں ہے کچھ اس کی خیر خبر ,چلو فرازؔ کو اے یار چل کے دیکھتے ہیں ,Ahmad Faraz
جو غزل آج ترے ہجر میں لکھی ہے وہ کل ,کیا خبر اہل محبت کا ترانہ بن جائے ,Ahmad Faraz
ستم تو یہ ہے کہ ظالم سخن شناس نہیں ,وہ ایک شخص کہ شاعر بنا گیا مجھ کو ,Ahmad Faraz
اس سے بڑھ کر کوئی انعام ہنر کیا ہے فرازؔ ,اپنے ہی عہد میں ایک شخص فسانہ بن جائے ,Ahmad Faraz
ساقی یہ خموشی بھی تو کچھ غور طلب ہے ,ساقی ترے مے خوار بڑی دیر سے چپ ہیں ,Ahmad Faraz
ساقیا ایک نظر جام سے پہلے پہلے ,ہم کو جانا ہے کہیں شام سے پہلے پہلے ,Ahmad Faraz
میں خود کو بھول چکا تھا مگر جہاں والے ,اداس چھوڑ گئے آئینہ دکھا کے مجھے ,Ahmad Faraz
یہ کون پھر سے انہیں راستوں میں چھوڑ گیا ,ابھی ابھی تو عذاب سفر سے نکلا تھا ,Ahmad Faraz
جو غیر تھے وہ اسی بات پر ہمارے ہوئے ,کہ ہم سے دوست بہت بے خبر ہمارے ہوئے ,Ahmad Faraz
وہ خار خار ہے شاخ گلاب کی مانند ,میں زخم زخم ہوں پھر بھی گلے لگاؤں اسے ,Ahmad Faraz
ناصحا تجھ کو خبر کیا کہ محبت کیا ہے ,روز آ جاتا ہے سمجھاتا ہے یوں ہے یوں ہے ,Ahmad Faraz
فرازؔ تیرے جنوں کا خیال ہے ورنہ ,یہ کیا ضرور وہ صورت سبھی کو پیاری لگے ,Ahmad Faraz
کچھ مشکلیں ایسی ہیں کہ آساں نہیں ہوتیں ,کچھ ایسے معمے ہیں کبھی حل نہیں ہوتے ,Ahmad Faraz
فضا اداس ہے رت مضمحل ہے میں چپ ہوں ,جو ہو سکے تو چلا آ کسی کی خاطر تو ,Ahmad Faraz
نہ تجھ کو مات ہوئی ہے نہ مجھ کو مات ہوئی ,سو اب کے دونوں ہی چالیں بدل کے دیکھتے ہیں ,Ahmad Faraz
اب ترا ذکر بھی شاید ہی غزل میں آئے ,اور سے اور ہوئے درد کے عنواں جاناں ,Ahmad Faraz
وہ اپنے زعم میں تھا بے خبر رہا مجھ سے ,اسے خبر ہی نہیں میں نہیں رہا اس کا ,Ahmad Faraz
کٹھن ہے راہ گزر تھوڑی دور ساتھ چلو ,بہت کڑا ہے سفر تھوڑی دور ساتھ چلو ,Ahmad Faraz
رات بھر ہنستے ہوئے تاروں نے ,ان کے عارض بھی بھگوئے ہوں گے ,Ahmad Faraz
میں بھی پلکوں پہ سجا لوں گا لہو کی بوندیں ,تم بھی پا بستہ زنجیر حنا ہو جانا ,Ahmad Faraz
مے کدے میں کیا تکلف مے کشی میں کیا حجاب ,بزم ساقی میں ادب آداب مت دیکھا کرو ,Ahmad Faraz
زندگی تیری عطا تھی سو ترے نام کی ہے ,ہم نے جیسے بھی بسر کی ترا احساں جاناں ,Ahmad Faraz
اس عہد ظلم میں میں بھی شریک ہوں جیسے ,مرا سکوت مجھے سخت مجرمانہ لگا ,Ahmad Faraz
اک یہ بھی تو انداز علاج غم جاں ہے ,اے چارہ گرو درد بڑھا کیوں نہیں دیتے ,Ahmad Faraz
پہلے پہلے ہوس اک آدھ دکاں کھولتی ہے ,پھر تو بازار کے بازار سے لگ جاتے ہیں ,Ahmad Faraz
پہلے سے مراسم نہ سہی پھر بھی کبھی تو ,رسم و رہ دنیا ہی نبھانے کے لیے آ ,Ahmad Faraz
زندگی پھیلی ہوئی تھی شام ہجراں کی طرح ,کس کو اتنا حوصلہ تھا کون جی کر دیکھتا ,Ahmad Faraz
لے اڑا پھر کوئی خیال ہمیں ,ساقیا ساقیا سنبھال ہمیں ,Ahmad Faraz
قاصدا ہم فقیر لوگوں کا ,اک ٹھکانہ نہیں کہ تجھ سے کہیں ,Ahmad Faraz
اک تو ہم کو ادب آداب نے پیاسا رکھا ,اس پہ محفل میں صراحی نے بھی گردش نہیں کی ,Ahmad Faraz
نہ مرے زخم کھلے ہیں نہ ترا رنگ حنا ,موسم آئے ہی نہیں اب کے گلابوں والے ,Ahmad Faraz
نہ تیرا قرب نہ بادہ ہے کیا کیا جائے ,پھر آج دکھ بھی زیادہ ہے کیا کیا جائے ,Ahmad Faraz
مر گئے پیاس کے مارے تو اٹھا ابر کرم ,بجھ گئی بزم تو اب شمع جلاتا کیا ہے ,Ahmad Faraz
فرازؔ تو نے اسے مشکلوں میں ڈال دیا ,زمانہ صاحب زر اور صرف شاعر تو ,Ahmad Faraz
ہمیں بھی عرض تمنا کا ڈھب نہیں آتا ,مزاج یار بھی سادہ ہے کیا کیا جائے ,Ahmad Faraz
اجاڑ گھر میں یہ خوشبو کہاں سے آئی ہے ,کوئی تو ہے در و دیوار کے علاوہ بھی ,Ahmad Faraz
چارہ گر نے بہر تسکیں رکھ دیا ہے دل پہ ہاتھ ,مہرباں ہے وہ مگر نا آشنائے زخم ہے ,Ahmad Faraz
میرؔ کے مانند اکثر زیست کرتا تھا فرازؔ ,تھا تو وہ دیوانہ سا شاعر مگر اچھا لگا ,Ahmad Faraz
ہم کو اس شہر میں تعمیر کا سودا ہے جہاں ,لوگ معمار کو چن دیتے ہیں دیوار کے ساتھ ,Ahmad Faraz
میری خاطر نہ سہی اپنی انا کی خاطر ,اپنے بندوں سے تو پندار خدائی لے لے ,Ahmad Faraz
یہ اب جو آگ بنا شہر شہر پھیلا ہے ,یہی دھواں مرے دیوار و در سے نکلا تھا ,Ahmad Faraz
اب اسے لوگ سمجھتے ہیں گرفتار مرا ,سخت نادم ہے مجھے دام میں لانے والا ,Ahmad Faraz
تیرے قامت سے بھی لپٹی ہے امر بیل کوئی ,میری چاہت کو بھی دنیا کی نظر کھا گئی دوست ,Ahmad Faraz
کس کو بکنا تھا مگر خوش ہیں کہ اس حیلے سے ,ہو گئیں اپنے خریدار سے باتیں کیا کیا ,Ahmad Faraz
جانے کس عالم میں تو بچھڑا کہ ہے تیرے بغیر ,آج تک ہر نقش فریادی مری تحریر کا ,Ahmad Faraz
چلے تھے یار بڑے زعم میں ہوا کی طرح ,پلٹ کے دیکھا تو بیٹھے ہیں نقش پا کی طرح ,Ahmad Faraz
جب بھی ضمیر و ظرف کا سودا ہو دوستو ,قائم رہو حسین کے انکار کی طرح ,Ahmad Faraz
عقل ہر بار دکھاتی تھی جلے ہاتھ اپنے ,دل نے ہر بار کہا آگ پرائی لے لے ,Ahmad Faraz
طعنۂ نشہ نہ دو سب کو کہ کچھ سوختہ جاں ,شدت تشنہ لبی سے بھی بہک جاتے ہیں ,Ahmad Faraz
یہ شہر میرے لئے اجنبی نہ تھا لیکن ,تمہارے ساتھ بدلتی گئیں فضائیں بھی ,Ahmad Faraz
سنا ہے اس کے شبستاں سے متصل ہے بہشت ,مکیں ادھر کے بھی جلوے ادھر کے دیکھتے ہیں ,Ahmad Faraz
شاعری تازہ زمانوں کی ہے معمار فرازؔ ,یہ بھی اک سلسلۂ کن فیکوں ہے یوں ہے ,Ahmad Faraz
اس انتہائے قرب نے دھندلا دیا تجھے ,کچھ دور ہو کہ دیکھ سکوں تیرا بانکپن ,Ahmad Faraz
ہم آہ بھی کرتے ہیں تو ہو جاتے ہیں بد نام ,وہ قتل بھی کرتے ہیں تو چرچا نہیں ہوتا ,Akbar Allah Abadi
عشق نازک مزاج ہے بے حد ,عقل کا بوجھ اٹھا نہیں سکتا ,Akbar Allah Abadi
دنیا میں ہوں دنیا کا طلب گار نہیں ہوں ,بازار سے گزرا ہوں خریدار نہیں ہوں ,Akbar Allah Abadi
حیا سے سر جھکا لینا ادا سے مسکرا دینا ,حسینوں کو بھی کتنا سہل ہے بجلی گرا دینا ,Akbar Allah Abadi
جو کہا میں نے کہ پیار آتا ہے مجھ کو تم پر ,ہنس کے کہنے لگا اور آپ کو آتا کیا ہے ,Akbar Allah Abadi
مذہبی بحث میں نے کی ہی نہیں ,فالتو عقل مجھ میں تھی ہی نہیں ,Akbar Allah Abadi
پیدا ہوا وکیل تو شیطان نے کہا ,لو آج ہم بھی صاحب اولاد ہو گئے ,Akbar Allah Abadi
آئی ہوگی کسی کو ہجر میں موت ,مجھ کو تو نیند بھی نہیں آتی ,Akbar Allah Abadi
رہتا ہے عبادت میں ہمیں موت کا کھٹکا ,ہم یاد خدا کرتے ہیں کر لے نہ خدا یاد ,Akbar Allah Abadi
لوگ کہتے ہیں بدلتا ہے زمانہ سب کو ,مرد وہ ہیں جو زمانے کو بدل دیتے ہیں ,Akbar Allah Abadi
اکبر دبے نہیں کسی سلطاں کی فوج سے ,لیکن شہید ہو گئے بیوی کی نوج سے ,Akbar Allah Abadi
الٰہی کیسی کیسی صورتیں تو نے بنائی ہیں ,کہ ہر صورت کلیجے سے لگا لینے کے قابل ہے ,Akbar Allah Abadi
میں بھی گریجویٹ ہوں تم بھی گریجویٹ ,علمی مباحثے ہوں ذرا پاس آ کے لیٹ ,Akbar Allah Abadi
ہنگامہ ہے کیوں برپا تھوڑی سی جو پی لی ہے ,ڈاکا تو نہیں مارا چوری تو نہیں کی ہے ,Akbar Allah Abadi
بس جان گیا میں تری پہچان یہی ہے ,تو دل میں تو آتا ہے سمجھ میں نہیں آتا ,Akbar Allah Abadi
عشق کے اظہار میں ہر چند رسوائی تو ہے ,پر کروں کیا اب طبیعت آپ پر آئی تو ہے ,Akbar Allah Abadi
بی.اے. بھی پاس ہوں ملے بی بی بھی دل پسند ,محنت کی ہے وہ بات یہ قسمت کی بات ہے ,Akbar Allah Abadi
خدا سے مانگ جو کچھ مانگنا ہے اے اکبرؔ ,یہی وہ در ہے کہ ذلت نہیں سوال کے بعد ,Akbar Allah Abadi
آہ جو دل سے نکالی جائے گی ,کیا سمجھتے ہو کہ خالی جائے گی ,Akbar Allah Abadi
کھینچو نہ کمانوں کو نہ تلوار نکالو ,جب توپ مقابل ہو تو اخبار نکالو ,Akbar Allah Abadi
ہم کیا کہیں احباب کیا کار نمایاں کر گئے ,بی اے ہوئے نوکر ہوئے پنشن ملی پھر مر گئے ,Akbar Allah Abadi
ہم ایسی کل کتابیں قابل ضبطی سمجھتے ہیں ,کہ جن کو پڑھ کے لڑکے باپ کو خبطی سمجھتے ہیں ,Akbar Allah Abadi
لپٹ بھی جا نہ رک اکبرؔ غضب کی بیوٹی ہے ,نہیں نہیں پہ نہ جا یہ حیا کی ڈیوٹی ہے ,Akbar Allah Abadi
جب میں کہتا ہوں کہ یا اللہ میرا حال دیکھ ,حکم ہوتا ہے کہ اپنا نامۂ اعمال دیکھ ,Akbar Allah Abadi
غضب ہے وہ ضدی بڑے ہو گئے ,میں لیٹا تو اٹھ کے کھڑے ہو گئے ,Akbar Allah Abadi
وصل ہو یا فراق ہو اکبرؔ ,جاگنا رات بھر مصیبت ہے ,Akbar Allah Abadi
طفل میں بو آئے کیا ماں باپ کے اطوار کی ,دودھ تو ڈبے کا ہے تعلیم ہے سرکار کی ,Akbar Allah Abadi
